"dateTime","APCPsfc_110_SFC_acc1h","APCPsfc_110_SFC_acc1h.1","APCPsfc_110_SFC_acc1h.2","APCPsfc_110_SFC_acc1h.3"
2019-12-31 12:00:00,0,0,0,0
2019-12-31 13:00:00,0,0,0,0
2019-12-31 14:00:00,0,0,0,0
2019-12-31 15:00:00,0,0,0,0
2019-12-31 16:00:00,0,0,0,0
2019-12-31 17:00:00,0,0,0,0
2019-12-31 18:00:00,0,0,0,0
2019-12-31 19:00:00,0,0,0,0
2019-12-31 20:00:00,0.00240000011399388,0.0299999993294477,0.0531999990344048,0.211999997496605
2019-12-31 21:00:00,0,0,0,0
2019-12-31 22:00:00,0,0,0,0
2019-12-31 23:00:00,0,0,0,0
2020-01-01 00:00:00,0,0,0,0
2020-01-01 01:00:00,0,0,0,0
2020-01-01 02:00:00,0,0,0,0
2020-01-01 03:00:00,0,0,0,0
2020-01-01 04:00:00,0,0,0,0
2020-01-01 05:00:00,0,0,0,0
2020-01-01 06:00:00,0,0,0,0
2020-01-01 07:00:00,0,0,0,0
2020-01-01 08:00:00,0,0,0,0
2020-01-01 09:00:00,0,0,0,0
2020-01-01 10:00:00,0,0,0,0
2020-01-01 11:00:00,0,0,0,0
2020-01-01 12:00:00,0,0,0,0
2020-01-01 13:00:00,0,0,0,0
2020-01-01 14:00:00,0,0,0,0
2020-01-01 15:00:00,0,0,0,0
2020-01-01 16:00:00,0,0,0,0
2020-01-01 17:00:00,0,0,0,0
2020-01-01 18:00:00,0,0,0,0
2020-01-01 19:00:00,0,0,0,0
2020-01-01 20:00:00,0,0,0,0
2020-01-01 21:00:00,0,0,0,0
2020-01-01 22:00:00,0,0,0,0
2020-01-01 23:00:00,0,0,0,0
2020-01-02 00:00:00,0,0,0,0
2020-01-02 01:00:00,0,0,0,0
2020-01-02 02:00:00,0,0,0,0
2020-01-02 03:00:00,0,0,0,0
2020-01-02 04:00:00,0,0,0,0
2020-01-02 05:00:00,0,0,0,0
2020-01-02 06:00:00,0,0,0,0
2020-01-02 07:00:00,0,0,0,0
2020-01-02 08:00:00,0,0,0,0
2020-01-02 09:00:00,0,0,0,0
2020-01-02 10:00:00,0,0,0,0
2020-01-02 11:00:00,0,0,0,0
2020-01-02 12:00:00,0,0,0,0
2020-01-02 13:00:00,0,0,0,0
2020-01-02 14:00:00,0,0,0,0
2020-01-02 15:00:00,0,0,0,0
2020-01-02 16:00:00,0,0,0,0
2020-01-02 17:00:00,0,0,0,0
2020-01-02 18:00:00,0,0,0,0
2020-01-02 19:00:00,0,0,0,0
2020-01-02 20:00:00,0,0,0,0
2020-01-02 21:00:00,0,0,0,0
2020-01-02 22:00:00,0,0,0,0
2020-01-02 23:00:00,0,0,0,0
2020-01-03 00:00:00,0.0399999991059303,0.0719999969005585,0.0192000009119511,0.165600001811981
2020-01-03 01:00:00,0,0,0,0
2020-01-03 02:00:00,0,0,0.0007999999797903,0
2020-01-03 03:00:00,0.00039999998989515,0,0.0020000000949949,0
2020-01-03 04:00:00,0.538399994373322,0.425599992275238,1.09479999542236,0.959200024604797
2020-01-03 05:00:00,2.24880003929138,2.34879994392395,3.07599997520447,3.05879998207092
2020-01-03 06:00:00,0.81580001115799,0.885999977588654,0.596599996089935,0.643800020217896
2020-01-03 07:00:00,0.105800002813339,0.201399996876717,0.671800017356873,0.613399982452393
2020-01-03 08:00:00,1.03680002689362,0.939199984073639,1.02559995651245,0.986400008201599
2020-01-03 09:00:00,0.561200022697449,0.535600006580353,0.569599986076355,0.568000018596649
2020-01-03 10:00:00,0.284799993038177,0.312000006437302,0.216800004243851,0.224000006914139
