"depth","NIT_amm","NIT_nit","PHS_frp","OGM_doc","OGM_docr","CAR_dic"
0.1,5.43237250554324,0.32258064516129,0.0947653714697267,31.6402997502082,284.762697751873,62.8391888031991
0.33,5.43237250554324,0.32078853046595,0.0924254857544248,31.3627532611712,282.264779350541,63.4739280840395
0.66,5.43237250554324,0.318996415770609,0.0900856000391229,31.0852067721343,279.766860949209,64.1086673648799
1,5.43237250554324,0.317204301075269,0.087745714323821,30.8076602830974,277.268942547877,64.7434066457203
1.33,5.43237250554324,0.315412186379928,0.0854058286085191,30.5301137940605,274.771024146545,65.3781459265607
1.66,5.43237250554324,0.313620071684588,0.0830659428932172,30.2525673050236,272.273105745212,66.0128852074011
2,5.43237250554324,0.311827956989247,0.0807260571779153,29.9750208159867,269.77518734388,66.6476244882415
2.33,5.43237250554324,0.310035842293907,0.0783861714626134,29.6974743269498,267.277268942548,67.2823637690819
2.66,5.43237250554324,0.308243727598566,0.0760462857473115,29.4199278379129,264.779350541216,67.9171030499222
3,5.43237250554324,0.306451612903226,0.0737064000320096,29.1423813488759,262.281432139883,68.5518423307626
3.33,5.42621335304262,0.311827956989247,0.0760462857473115,28.864834859839,259.783513738551,67.9171030499222
3.66,5.42005420054201,0.317204301075269,0.0783861714626134,28.5872883708021,257.285595337219,67.2823637690819
4,5.41389504804139,0.32258064516129,0.0807260571779153,28.3097418817652,254.787676935887,66.6476244882415
4.33,5.40773589554077,0.327956989247312,0.0830659428932172,28.0321953927283,252.289758534555,66.0128852074011
4.66,5.40157674304016,0.333333333333333,0.0854058286085191,27.7546489036914,249.791840133222,65.3781459265607
5,5.39541759053954,0.338709677419355,0.087745714323821,27.4771024146545,247.29392173189,64.7434066457203
5.33,5.38925843803893,0.344086021505376,0.0900856000391229,27.1995559256175,244.796003330558,64.1086673648799
5.66,5.38309928553831,0.349462365591398,0.0924254857544248,26.9220094365806,242.298084929226,63.4739280840395
6,5.37694013303769,0.354838709677419,0.0947653714697267,26.6444629475437,239.800166527893,62.8391888031991
6.33,5.37078098053708,0.3584229390681,0.0971052571850286,27.5696179110001,248.126561199001,64.1086673648799
6.66,5.36462182803646,0.362007168458781,0.0994451429003305,28.4947728744565,256.452955870108,65.3781459265607
7,5.35846267553585,0.365591397849462,0.101785028615632,29.4199278379129,264.779350541216,66.6476244882415
7.33,5.35230352303523,0.369175627240143,0.104124914330934,30.3450828013692,273.105745212323,67.9171030499222
7.66,5.34614437053462,0.372759856630824,0.106464800046236,31.2702377648256,281.432139883431,69.186581611603
8,5.339985218034,0.376344086021505,0.108804685761538,32.195392728282,289.758534554538,70.4560601732838
8.33,5.33382606553338,0.379928315412186,0.11114457147684,33.1205476917384,298.084929225645,71.7255387349646
8.66,5.32766691303277,0.383512544802867,0.113484457192142,34.0457026551948,306.411323896753,72.9950172966454
9,5.32150776053215,0.387096774193548,0.115824342907444,34.9708576186511,314.73771856786,74.2644958583262
9.33,5.32150776053215,0.384408602150538,0.112314514334491,34.2769913960588,308.49292256453,72.9950172966454
9.66,5.32150776053215,0.381720430107527,0.108804685761538,33.5831251734666,302.248126561199,71.7255387349646
10,5.32150776053215,0.379032258064516,0.105294857188585,32.8892589508743,296.003330557868,70.4560601732838
10.33,5.32150776053215,0.376344086021505,0.101785028615632,32.195392728282,289.758534554538,69.186581611603
10.66,5.32150776053215,0.373655913978495,0.0982752000426795,31.5015265056897,283.513738551207,67.9171030499222
11,5.32150776053215,0.370967741935484,0.0947653714697267,30.8076602830974,277.268942547877,66.6476244882415
11.33,5.32150776053215,0.370967741935484,0.0947653714697267,30.8076602830974,277.268942547877,66.6476244882415
11.66,5.32150776053215,0.370967741935484,0.0947653714697267,30.8076602830974,277.268942547877,66.6476244882415
12,5.32150776053215,0.370967741935484,0.0947653714697267,30.8076602830974,277.268942547877,66.6476244882415
12.33,5.32150776053215,0.370967741935484,0.0947653714697267,30.8076602830974,277.268942547877,66.6476244882415
12.66,5.32150776053215,0.370967741935484,0.0947653714697267,30.8076602830974,277.268942547877,66.6476244882415
13,5.32150776053215,0.370967741935484,0.0947653714697267,30.8076602830974,277.268942547877,66.6476244882415
13.33,5.32150776053215,0.370967741935484,0.0947653714697267,30.8076602830974,277.268942547877,66.6476244882415
